id;usuarioId;nome;categoria;quantidade;valor;dataValidade;observacoes
1;1;Frango com batata-doce;Almoço;12;18.5;30/06/2026;Frango grelhado com batata-doce e legumes
2;1;Carne de panela;Jantar;6;21.0;14/06/2026;Carne de panela com arroz e feijão
3;1;Lasanha de berinjela;Vegetariana;4;19.9;08/06/2026;Lasanha vegetariana com molho de tomate
4;1;Strogonoff de frango;Almoço;15;20.5;18/06/2026;Acompanha arroz integral e batata palha
5;1;Filé de tilápia;Jantar;8;24.9;25/06/2026;Tilápia grelhada com purê e legumes
6;1;Escondidinho de carne;Almoço;10;22.0;12/06/2026;Purê de mandioca com carne desfiada
7;1;Risoto de cogumelos;Vegetariana;7;23.5;20/06/2026;Risoto cremoso com cogumelos frescos
8;1;Feijoada leve;Almoço;9;25.0;05/06/2026;Feijoada com carnes magras e couve
9;1;Panqueca de ricota;Vegetariana;11;17.9;11/06/2026;Panqueca com ricota e espinafre
10;1;Picadinho bovino;Jantar;13;22.9;28/06/2026;Picadinho com arroz, feijão e farofa
11;1;Frango xadrez;Jantar;5;21.5;09/06/2026;Frango com pimentões e arroz branco
13;2;Frango ao curry;Almoço;65;22.5;22/06/2026;Frango ao curry com arroz e legumes
14;2;Carne com legumes;Jantar;58;24.0;26/06/2026;Carne bovina salteada com legumes
15;2;Moqueca de banana;Vegetariana;54;21.9;19/06/2026;Moqueca vegetariana com arroz branco
16;2;Bife acebolado;Almoço;72;23.5;29/06/2026;Bife acebolado com arroz e feijão
17;2;Frango à parmegiana;Jantar;61;25.9;13/06/2026;Frango empanado com molho e queijo
18;2;Grão-de-bico com legumes;Vegetariana;49;18.5;09/06/2026;Ensopado de grão-de-bico e legumes
19;2;Costela desfiada;Almoço;68;27.0;03/07/2026;Costela desfiada com purê de mandioca
20;2;Salmão grelhado;Jantar;45;31.9;17/06/2026;Salmão com arroz integral e brócolis
21;2;Abóbora recheada;Vegetariana;52;20.0;11/06/2026;Abóbora recheada com quinoa e vegetais
22;2;Almôndegas ao molho;Almoço;63;21.5;07/06/2026;Almôndegas ao molho com espaguete
23;3;Frango grelhado 001;Almoço;1;14.9;12/06/2026;Lote de estresse 001 com arroz branco e feijao
24;3;Carne de panela 002;Jantar;18;18.6;13/06/2026;Lote de estresse 002 com arroz branco e feijao
25;3;Tilapia assada 003;Vegetariana;35;22.3;14/06/2026;Lote de estresse 003 com arroz branco e feijao
26;3;Lasanha de berinjela 004;Almoço;52;26.0;15/06/2026;Lote de estresse 004 com arroz branco e feijao
27;3;Strogonoff de frango 005;Jantar;69;29.7;16/06/2026;Lote de estresse 005 com arroz branco e feijao
28;3;Escondidinho de carne 006;Vegetariana;86;33.4;17/06/2026;Lote de estresse 006 com arroz branco e feijao
29;3;Risoto de cogumelos 007;Almoço;103;37.1;18/06/2026;Lote de estresse 007 com arroz branco e feijao
30;3;Feijoada leve 008;Jantar;120;17.8;19/06/2026;Lote de estresse 008 com arroz branco e feijao
31;3;Panqueca de ricota 009;Vegetariana;17;21.5;20/06/2026;Lote de estresse 009 com arroz branco e feijao
32;3;Picadinho bovino 010;Almoço;34;25.2;21/06/2026;Lote de estresse 010 com arroz branco e feijao
